cell_id,lon,lat,LST_celsius,NDVI,albedo,builtup,esa_landcover,osm_road_density,osm_bldg_coverage,osm_green_coverage,humidity,wind_speed,air_temp_max,air_temp_min,pop_density,road_density,dist_to_water,wind_obstruction,bldg_height_idx,impervious_pct,heat_load_idx,neighborhood
72.7700_18.8900,72.77207200888039,18.892917897959716,27.690411470000043,-0.1,0.0932319,0,80,0.0,0.0,0.0,63.8,22.6,33.6,24.1,0.0,0.0,971.9742482074805,0.2466666666666666,0.0,1.0,0.8,Worli
72.7700_18.8950,72.77207200888039,18.897409474380314,28.324454180000032,-0.1,0.0886033,0,80,0.0,0.0,0.0,62.6,25.2,30.8,25.5,0.0,0.0,1900.5349183818778,0.16000000000000003,0.0,1.0,0.8,Worli
72.7700_18.9000,72.77207200888039,18.90279936608503,28.26292982000001,-0.1,0.09693874999999999,0,80,0.0,0.0,0.0,65.2,23.5,35.7,24.9,0.0,0.0,426.21314996969386,0.21666666666666667,0.0,1.0,0.8103058864324894,Worli
72.7700_18.9050,72.77207200888039,18.90729094250563,28.338126260000024,-0.1,0.08912905000000002,0,80,0.0,0.0,0.0,65.8,24.8,33.1,24.9,0.0,0.0,1535.0423286920293,0.17333333333333334,0.0,1.0,0.8,Worli
72.7700_18.9100,72.77207200888039,18.912680834210345,28.300528040000017,-0.1,0.09269650000000001,0,80,0.0,0.0,0.0,68.3,23.5,34.5,24.9,0.0,0.0,1647.6206182784442,0.21666666666666667,0.0,1.0,0.8436819346676092,Worli
72.7700_18.9150,72.77207200888039,18.917172410630943,28.32274517000002,-0.1,0.0872397,0,80,0.0,0.0,0.0,63.3,26.1,33.9,26.6,0.0,0.0,266.3588156977644,0.13,0.0,1.0,0.8114101441670903,Worli
72.7700_18.9200,72.77207200888039,18.92256230233566,28.235585660000027,-0.1,0.08797830000000001,0,80,0.0,0.0,0.0,70.3,26.8,33.4,24.6,0.0,0.0,1248.9080815629868,0.10666666666666669,0.0,1.0,0.8,Worli
72.7700_18.9250,72.77207200888039,18.927053878756258,28.261220810000026,-0.1,0.09513445000000001,0,80,0.0,0.0,0.0,67.4,22.5,32.8,25.2,0.0,0.0,2215.161948062094,0.25,0.0,1.0,0.8,Worli
72.7700_18.9300,72.77207200888039,18.932443770460978,28.105700900000016,-0.1,0.09474590000000001,0,80,0.0,0.0,0.0,65.8,24.7,33.8,26.7,0.0,0.0,1036.411417739904,0.17666666666666664,0.0,1.0,0.8,Worli
72.7700_18.9350,72.77207200888039,18.937833662165694,28.23216764,-0.1,0.09373455,0,80,0.0,0.0,0.0,60.6,23.9,32.8,25.4,0.0,0.0,18.2654338315505,0.20333333333333337,0.0,1.0,0.8,Worli
72.7700_18.9400,72.77207200888039,18.942325238586292,28.256093780000015,-0.1,0.09471275,0,80,0.0,0.0,0.0,60.5,24.9,34.3,25.3,0.0,0.0,13.619345776356427,0.17000000000000004,0.0,1.0,0.8201663971270191,Worli
72.7700_18.9450,72.77207200888039,18.94771513029101,28.14329912000005,-0.1,0.09228915,0,80,0.0,0.0,0.0,65.8,26.0,32.1,25.1,0.0,0.0,662.4842877301601,0.1333333333333333,0.0,1.0,0.803728323394881,Worli
72.7700_18.9500,72.77207200888039,18.952206706711607,28.160389220000013,-0.1,0.09174660000000001,0,80,0.0,0.0,0.0,61.7,22.7,31.8,23.7,0.0,0.0,3909.4742655786026,0.2433333333333334,0.0,1.0,0.8,Worli
72.7700_18.9550,72.77207200888039,18.957596598416323,28.276601900000003,-0.1,0.09398169999999999,0,80,0.0,0.0,0.0,68.8,23.4,35.3,25.6,0.0,0.0,389.4716564458754,0.22000000000000008,0.0,1.0,0.7825182984396615,Worli
72.7700_18.9600,72.77207200888039,18.96208817483692,28.41332269999998,-0.1,0.0918519,0,80,0.0,0.0,0.0,69.3,22.9,36.0,24.9,0.0,0.0,1509.17418758283,0.2366666666666667,0.0,1.0,0.7591002755306583,Worli
72.7700_18.9650,72.77207200888039,18.967478066541638,28.22020457000002,-0.1,0.0881774,0,80,0.0,0.0,0.0,62.4,23.3,32.7,24.7,0.0,0.0,376.68941959576455,0.22333333333333327,0.0,1.0,0.8097093244179917,Worli
72.7700_18.9700,72.77207200888039,18.972867958246354,28.208241500000014,-0.1,0.089407,0,80,0.0,0.0,0.0,70.2,21.1,33.9,22.7,0.0,0.0,582.1820528198335,0.29666666666666663,0.0,1.0,0.7883577263894734,Worli
72.7700_18.9750,72.77207200888039,18.977359534666952,28.30565507000003,-0.1,0.09125979999999999,0,80,0.0,0.0,0.0,69.4,22.2,34.6,25.1,0.0,0.0,2826.2275526311882,0.26,0.0,1.0,0.8072623125548906,Worli
72.7700_18.9800,72.77207200888039,18.98274942637167,28.36717943000002,-0.1,0.09227869999999999,0,80,0.0,0.0,0.0,69.8,23.7,33.3,24.8,0.0,0.0,1957.6879584395958,0.21000000000000008,0.0,1.0,0.7993974488076308,Worli
72.7700_18.9850,72.77207200888039,18.987241002792267,28.285146950000012,-0.1,0.0857474,0,80,0.0,0.0,0.0,68.9,22.9,33.6,26.0,0.0,0.0,150.39243455500346,0.2366666666666667,0.0,1.0,0.7589206963660677,Worli
72.7700_18.9900,72.77207200888039,18.992630894496983,28.667965190000018,-0.1,0.08698270000000001,0,80,0.0,0.0,0.0,65.6,24.1,32.5,23.2,0.0,0.0,839.7665261702679,0.19666666666666666,0.0,1.0,0.8403055022092129,Worli
72.7700_18.9950,72.77207200888039,18.99712247091758,28.667965190000018,-0.1,0.07850900000000001,0,80,0.0,0.0,0.0,56.8,24.2,33.2,23.5,0.0,0.0,44.40548970337821,0.19333333333333336,0.0,1.0,0.825812889218451,Worli
72.7700_19.0000,72.77207200888039,19.002512362622298,28.606440830000025,-0.1,0.09138750000000001,0,80,0.0,0.0,0.0,65.2,23.0,31.1,25.1,0.0,0.0,983.4596319537086,0.23333333333333328,0.0,1.0,0.8,Worli
72.7700_19.0050,72.77207200888039,19.007902254327014,28.67821925000004,-0.1,0.08755,0,80,0.0,0.0,0.0,60.0,24.3,32.1,24.7,0.0,0.0,1628.9914003433184,0.18999999999999995,0.0,1.0,0.7691325186116424,Worli
72.7700_19.0100,72.77207200888039,19.012393830747612,28.64745707,-0.1,0.0786017,0,80,0.0,0.0,0.0,63.5,24.1,32.5,23.7,0.0,0.0,189.19988015543763,0.19666666666666666,0.0,1.0,0.8069512322760711,Worli
72.7700_19.0150,72.77207200888039,19.017783722452332,28.749997670000027,-0.1,0.08549480000000001,0,80,0.0,0.0,0.0,61.2,24.3,30.0,25.0,0.0,0.0,511.3815484905517,0.18999999999999995,0.0,0.9856187349354935,0.7959814479624854,Andheri
72.7700_19.0200,72.77207200888039,19.022275298872927,28.65087509,-0.1,0.08488920000000001,0,80,0.0,0.0,0.0,61.0,23.9,34.3,24.0,0.0,0.0,760.8397264242755,0.20333333333333337,0.0,1.0,0.790279990492445,Andheri
72.7700_19.0250,72.77207200888039,19.027665190577647,28.731198559999996,-0.1,0.0983041,0,80,0.0,0.0,0.0,67.8,20.1,35.9,24.4,0.0,0.0,3779.825352445665,0.32999999999999996,0.0,1.0,0.8038315479238818,Andheri
72.7700_19.0300,72.77207200888039,19.03215676699824,28.753415690000026,-0.1,0.094423,0,80,0.0,0.0,0.0,70.7,21.4,32.0,27.1,0.0,0.0,7498.4341138535265,0.28666666666666674,0.0,1.0,0.8101248197861186,Andheri
72.7700_19.0350,72.77207200888039,19.03754665870296,28.211659520000012,-0.1,0.09353240000000002,0,80,0.0,0.0,0.0,64.7,27.2,34.3,23.9,0.0,0.0,68.92659327252412,0.09333333333333338,0.0,1.0,0.8289461139878361,Andheri
72.7700_19.0400,72.77207200888039,19.042936550407678,28.645748060000017,-0.1,0.1051367,0,80,0.0,0.0,0.0,68.6,25.6,33.6,24.6,0.0,0.0,2146.9873204508617,0.1466666666666666,0.0,1.0,0.8113620641025729,Andheri
72.7700_19.0450,72.77207200888039,19.047428126828276,28.71581747000002,-0.1,0.09810870000000002,0,80,0.0,0.0,0.0,67.2,23.7,35.0,24.2,0.0,0.0,697.1637364582334,0.21000000000000008,0.0,1.0,0.8,Andheri
72.7700_19.0500,72.77207200888039,19.052818018532992,28.644039050000032,-0.1,0.09765839999999999,0,80,0.0,0.0,0.0,63.5,23.3,33.5,25.8,0.0,0.0,747.5014153262597,0.22333333333333327,0.0,1.0,0.8272512570542491,Andheri
72.7700_19.0550,72.77207200888039,19.05730959495359,28.34496230000002,-0.1,0.0947066,0,80,0.0,0.0,0.0,66.7,24.1,33.7,24.7,0.0,0.0,2105.252176493013,0.19666666666666666,0.0,1.0,0.830117573098041,Andheri
72.7700_19.0600,72.77207200888039,19.062699486658307,28.17747932000003,-0.1,0.0927505,0,80,0.0,0.0,0.0,63.8,20.3,30.7,23.7,0.0,0.0,3759.3749892557585,0.32333333333333336,0.0,1.0,0.8630411346902418,Andheri
72.7700_19.0650,72.77207200888039,19.067191063078905,28.464593000000036,-0.1,0.0984879,0,80,0.0,0.0,0.0,64.6,22.5,33.4,24.7,0.0,0.0,4521.718179880809,0.25,0.0,1.0,0.7919062742762751,Andheri
72.7700_19.0700,72.77207200888039,19.07258095478362,28.840575200000018,-0.1,0.097997,0,80,0.0,0.0,0.0,64.9,25.3,32.8,23.2,0.0,0.0,1291.0094151681956,0.15666666666666662,0.0,1.0,0.8048576402630055,Andheri
72.7700_19.0750,72.77207200888039,19.07707253120422,28.808104010000022,-0.1,0.09257599999999999,0,80,0.0,0.0,0.0,64.4,22.9,32.2,24.5,0.0,0.0,662.698500974121,0.2366666666666667,0.0,1.0,0.747912821872049,Andheri
72.7700_19.0800,72.77207200888039,19.082462422908936,28.204823480000016,-0.1,0.0962702,0,80,0.0,0.0,0.0,58.9,23.9,34.9,24.1,0.0,0.0,2323.5664643656482,0.20333333333333337,0.0,1.0,0.7980847959705362,Andheri
72.7700_19.0850,72.77207200888039,19.087852314613652,28.30565507,-0.1,0.0949079,0,80,0.0,0.0,0.0,68.8,23.7,32.2,24.7,0.0,0.0,433.52721341815925,0.21000000000000008,0.0,1.0,0.8,Andheri
72.7700_19.0900,72.77207200888039,19.09234389103425,28.437248840000024,-0.1,0.0991558,0,80,0.0,0.0,0.0,61.3,23.2,33.4,23.9,0.0,0.0,1245.4242614276602,0.22666666666666668,0.0,1.0,0.8384689158964991,Andheri
72.7700_19.0950,72.77207200888039,19.097733782738967,28.368888440000035,-0.1,0.0987576,0,80,0.0,0.0,0.0,65.3,24.5,33.1,26.0,0.0,0.0,666.1026178149804,0.18333333333333335,0.0,1.0,0.8,Andheri
